id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
2fASnKww9WIi2YMp8s7sDi,Sueño,37,251480,0,['Fonseca'],2005-01-02,0.511,F,0.0841,2.81e-05,114.025
2j7mtIlWmFfvodCFAAYd3E,Confiésame,39,243000,0,['Fonseca'],2005-01-02,0.7,F#,0.0813,0.0,112.038
2lGNHYGWS80iu0EJDyqsHw,Pulkstens deviņus jau zvana,17,173907,0,['Prego'],2005-01-02,0.381,F,0.953,0.0,120.822
1BI6ciDl653mn2Oip8KUID,Melanholiskais valsis,13,234493,0,['Prego'],2005-01-02,0.535,A,0.333,1.15e-05,169.968
7oVJpmVnFYtNZA0TQmF2OX,Sobrenatural - Ao Vivo,45,219133,0,['Jeito Moleque'],2005-01-03,0.475,A,0.366,0.0,159.799
1r4D2L2VxgmpyQPDyC4iC1,תחרות כלבים,42,277867,0,['Eviatar Banai'],2005-01-03,0.646,F#,0.156,7.42e-05,112.02
65ZJCO6yTbxqU98xXJhEHT,Meu Jeito Moleque - Ao Vivo,44,162880,0,['Jeito Moleque'],2005-01-03,0.486,C,0.539,0.0,83.26
6MoyiRPmFwVnkhaZhkyksG,Pickin' Wildflowers,52,185920,0,['Keith Anderson'],2005-01-03,0.561,G#,0.0353,0.0,152.089
6VcsrxdEnAMC4u6u9ssjse,Para Tudo - Ao Vivo,42,275600,0,['Jeito Moleque'],2005-01-03,0.31,F#,0.416,3.9e-06,145.331
0AktIva3815qwp5QTmo6g3,יש לנו את כל הזמן,20,233347,0,['Eviatar Banai'],2005-01-03,0.434,C,0.8,0.00593,107.535
1DwVWibPBDTBNLCuzV4QlU,Me Faz Feliz - Ao Vivo,45,175280,0,['Jeito Moleque'],2005-01-03,0.604,C,0.149,0.0,103.71
3nwdXST6RMJd25rM7LpDqX,טיפה של אור,20,266067,0,['Eviatar Banai'],2005-01-03,0.529,C,0.469,0.0656,150.074
6ZVk3PvgtXq8UpJNYR0C5t,בבית,17,221333,0,['Eviatar Banai'],2005-01-03,0.61,G,0.491,0.000798,111.961
19pvG8lf5oY6XGX81Xe3vp,מיתר,17,227067,0,['Eviatar Banai'],2005-01-03,0.76,F#,0.196,0.00484,105.953
5psgd9N2kHquqYPy8EgDdg,בשבילך,17,223800,0,['Eviatar Banai'],2005-01-03,0.646,B,0.0949,0.542,114.023
52qZx4Y33kGfQrbO4BzoQd,Pali monos mou milo - Live,18,127853,0,['Giorgos Alkaios'],2005-01-03,0.504,A,0.592,0.0011,97.633
3ncNTFdLjuXOmp1Jdt7xwW,פקק תנועה,22,221107,0,['Eviatar Banai'],2005-01-03,0.322,E,0.187,0.00022,179.917
56CuqxHdDCQjaQjkunYwO8,Man müsste noch mal 20 sein,42,265253,0,['Brings'],2005-01-03,0.61,F#,0.118,0.0,137.997
1JISGjYOQoiJe6xc7CWnQo,Hoje A Noite É Nossa - Ao Vivo,40,206920,0,['Jeito Moleque'],2005-01-03,0.455,B,0.194,1.86e-05,104.919
0q7x5rssXSdckcZMXt77fX,את שקט,33,349000,0,['Eviatar Banai'],2005-01-03,0.67,D,0.539,0.0793,124.018
70wHJTH7M64u5NBrdKBKFl,Eu Nunca Amei Assim - Ao Vivo,42,230160,0,['Jeito Moleque'],2005-01-03,0.48,G,0.325,0.0,75.802
0WkKSJiOHumAHleapC5PKt,מתנות,33,211733,0,['Eviatar Banai'],2005-01-03,0.566,A,0.0376,5.97e-05,111.957
2lTrhZa4tJFLizwdob9lYa,המון אנשים,18,219107,0,['Eviatar Banai'],2005-01-03,0.256,E,0.934,0.095,140.399
0ltdRHucjtDnq8ifRleIEo,שוב אני לבד,20,250467,0,['Eviatar Banai'],2005-01-03,0.703,A,0.14,0.033,136.03
34nOHhugejZrvZfCqBLsZF,Una Fan Enamorada,14,300213,0,['L´Autentika'],2005-01-03,0.495,A#,0.344,0.0,183.977
491wIDZNOChYOrX0QYig9z,Amor Eterno - Ao Vivo,42,268160,0,['Jeito Moleque'],2005-01-03,0.353,F#,0.386,1.85e-05,99.703
2EifUNgHPoZHa22ZltRHKl,הזאב והאיילה,35,214400,0,['Eviatar Banai'],2005-01-03,0.565,C,0.589,0.0362,135.96
26W2s4olnidTVYt4UklfqS,Yeşil Ördek Gibi,40,242173,0,['Müslüm Gürses'],2005-01-04,0.659,E,0.617,0.079,119.976
70SEB2Lmmkpo5oRtyHksrY,You're the Inspiration,54,246880,0,['Peter Cetera'],2005-01-04,0.645,A#,0.0834,0.0,143.48
1uybEGNH2GIvNdzGB7L2Qj,(I Wanna Take) Forever Tonight,58,274453,0,['Peter Cetera'],2005-01-04,0.601,C#,0.601,0.000966,105.953
49mm2fTKdGkFAJRAM12UuD,Flower of Scotland,31,224373,0,['The Wolfe Tones'],2005-01-05,0.312,G,0.161,0.0,163.96
4k4CVH4QLpQHXREFWdidnE,Galtee Mountain Boy,34,180133,0,['The Wolfe Tones'],2005-01-05,0.501,F,0.612,0.0,157.081
