id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
2ctPEKEZTumjgcJPmkXo4R,憑著愛,27,274200,0,['George Lam'],2010-01-01,0.527,A,0.867,1.43e-05,99.036
4BFYZbGJXZvU4iXbKg7Piq,Каникулы,38,216137,0,['Турбомода'],2010-01-01,0.857,C,0.0686,0.0021,139.059
5gXMdkIRNEuSFCNAjRbBGH,You've Made Me Stronger,45,245840,0,['Regine Velasquez'],2010-01-01,0.65,E,0.0464,2.34e-05,94.947
2QA6KBF9kV88NhWDj2SdBl,Skruzdėlinė Elektrinė,12,165240,0,['Tele Bim Bam'],2010-01-01,0.704,D,0.465,6.65e-05,102.04
30NGAHZMP0iBpRT491bi1f,我的快樂時代,24,218173,0,['Eason Chan'],2010-01-01,0.233,C,0.499,3.62e-06,180.844
09I4gCrXABIV7YdNtWGXoi,Morning Sun,46,218462,0,['Dave Bixby'],2010-01-01,0.409,E,0.847,0.0036,48.875
5RNtyseiyt5dNH0P8E3M3D,Kalėdų Stebuklas,14,313627,0,['Tele Bim Bam'],2010-01-01,0.586,D,0.368,0.0,83.02
2cjS444xQfSRbQDp0lNLs4,"Pupa, Pupa",13,177587,0,['Tele Bim Bam'],2010-01-01,0.899,D,0.0776,8.22e-06,127.009
5Nc5Ovx5QUscOOV3nRhTMm,Būsim Draugais,13,237587,0,['Tele Bim Bam'],2010-01-01,0.695,D#,0.303,0.0,115.996
5fp6m6Zo4LetiWaMMrPjy5,Dreamscape,51,277489,0,['009 Sound System'],2010-01-01,0.549,D#,0.00481,0.000382,123.028
6ZNVfDrLagBycP58Dl94kg,Balta Lopšinė,15,218187,0,['Tele Bim Bam'],2010-01-01,0.521,F,0.497,0.000479,105.898
79aUUZchoCbggPNH7dmytr,落花流水,26,246840,0,['Eason Chan'],2010-01-01,0.412,C#,0.644,0.000196,75.702
5kZbRCbMUbbbSmrQxSVkLp,信口開河,24,258040,0,['Justin Lo'],2010-01-01,0.566,F#,0.561,0.0,127.732
