id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
2pC8PvCeQLw1AMx9nwA2jc,Ég gef þér allt mitt líf,12,255373,0,"['Ragga Gröndal', 'Helgi Björnsson']",2011-01-01,0.556,C,0.255,0.0,127.746
7EA0xZLiXLFuSuwHUeIc3j,Wait for Fate,14,270977,0,['Jón Jónsson'],2011-01-01,0.584,G#,0.942,0.0,112.825
0V4NgZlY77MpROTCPDBLSt,Little Tree,13,246410,0,['Jón Jónsson'],2011-01-01,0.479,A,0.477,2.86e-05,154.993
0O3fAQi8dYTtxc3neZFD95,Nærvera,11,503409,0,['Friðrik Karlsson'],2011-01-01,0.46,E,0.901,0.877,120.077
1QlMpoJNwgTJODvONnHxeL,Sem kóngur ríkti hann,13,187989,0,['Papar'],2011-01-01,0.56,D,0.0829,0.0,136.013
7BmI4hAj6dXIQgA77ZlOzm,Buzzin Remix,41,224333,1,"['Mann', '50 Cent']",2011-01-01,0.687,A#,0.0887,0.0,104.029
41KBQ1IMtrIYmE8BA8rHtR,Ég gef þér allt mitt líf,13,223422,0,"['Ragnhildur Gísladóttir', 'Björgvin Halldórsson']",2011-01-01,0.653,E,0.268,0.000677,127.117
7DJ6zJAl3Z4bgKpH0CdJN1,Irving Berlin-The Early Years,0,389107,0,"['Irving Berlin', 'Coastal Communities Concert Band', 'Dr. Robert C. Fleming']",2011-01-01,0.217,G,0.122,0.00308,130.078
2Yv4ta05XMaTQKeN4vv4e6,Þrek og tár,13,248918,0,"['Sigríður Thorlacius', 'Sigurður Guðmundsson', 'Iceland Symphony Orchestra']",2011-01-01,0.174,G,0.761,0.0153,73.438
4gDQktCvIfPqo18AdHmkR4,Lipstick - Radio Edit,40,175000,0,['Jedward'],2011-01-01,0.625,G#,0.0109,0.0,138.015
1l8GKUSfTaX2CL0Qe3iPi8,Steinstjarna,13,207911,0,['Emmsjé Gauti'],2011-01-01,0.626,A,0.00601,0.0,143.672
05a0eWm2Xg3pvDEVuvKm76,I think of angels (feat. Ellen Kristjáns),12,210884,0,"['KK', 'Ellen Kristjánsdóttir']",2011-01-01,0.621,D,0.946,0.0113,121.997
47g7906sLoM40c4QO5bIo1,Þjóðsaga,13,173221,0,['Papar'],2011-01-01,0.678,D,0.301,0.000559,98.006
53d6MZiiMSoymGx8MYYdIX,Að sleppa takinu,13,941848,0,['Friðrik Karlsson'],2011-01-01,0.139,F,0.99,0.826,73.225
1VlEpNSqN4yV7u5jwBMr6J,Síðasti dansinn,12,230249,0,"['Erna Gunnarsdóttir', 'Björgvin Halldórsson']",2011-01-01,0.385,G,0.552,0.0,135.89
6ZvdB6I9Ocs8rQbvJbTRWS,Dancing In The Moonlight,32,176547,0,['King Harvest'],2011-01-01,0.63,C,0.161,0.0,136.114
11i5Bnpjquuq7bzDjnS08V,Af álfum,13,187292,0,"['Margrét Eir', 'Friðrik Ómar']",2011-01-01,0.654,G#,0.47,0.0,101.961
5ARvaT9bPJi5WiRqMaxIDQ,Farin,12,202571,0,['Skítamórall'],2011-01-01,0.592,G,0.147,1.24e-06,95.951
0XGciH3qBicZzp2HT9Lh9v,Einn ég ríð til fjalla,16,228345,0,['Helgi Björnsson'],2011-01-01,0.688,C,0.637,0.0,119.132
2GXnvifooVkdvapTF2iqvJ,Lately,13,235590,0,['Jón Jónsson'],2011-01-01,0.623,D,0.44,5.97e-06,150.08
4VtxZztPlu4AjLhGGYdtt4,When You're Around,17,222540,0,['Jón Jónsson'],2011-01-01,0.531,G,0.153,0.0,94.782
28iu6RUQHEr64yIAkAgLgk,Beautiful Girl,53,207453,0,['INXS'],2011-01-01,0.662,B,0.000766,0.54,120.591
7wK50ryAnzzKLcw0v3jGwN,Árás,17,366400,0,['Skálmöld'],2011-01-01,0.415,E,0.000111,0.0015,107.861
1bjPavnBwzPrWk3lC5EhaJ,Miss You So,14,306085,0,['Jón Jónsson'],2011-01-01,0.553,C#,0.892,0.0447,120.118
2siwUl90v9WtZECBYlribW,Alltaf á Heimaey,13,220822,0,['Hálft í hvoru'],2011-01-01,0.58,A,0.705,0.0,91.64
6A8sipwNlvJZ0mwDpqoZoV,Í góðu skapi,13,191750,0,['Steindinn okkar'],2011-01-01,0.836,C,0.00217,0.0,115.989
3z0ZTUc20yDpSJBjKxmYsa,Faðir Thug,15,161890,0,['Steindinn okkar'],2011-01-01,0.273,G#,0.252,0.00235,104.323
4vcH23rUapxgcSyIIGiSal,Brúðkaup Villa kokks,13,136626,0,"['Papar', 'Einar Ágúst']",2011-01-01,0.626,G,0.456,0.0,112.976
7nOJ0CLKPYmFEgKlTNc73N,Higher And Higher,14,262525,0,['Jet Black Joe'],2011-01-01,0.482,G#,0.0303,0.00935,119.948
5LetylD5rmQWmAeVDWrTEP,Það er komið sumar,14,230040,0,"['Ragga Holm', 'Margrét Rán', 'Emmsjé Gauti']",2011-01-01,0.688,G,0.00226,0.00028,143.006
0Q8BVb82shwHgfe08nVtT3,Draumur um Nínu,14,176239,0,"['Eyjólfur Kristjánsson', 'Stefán Hilmarsson']",2011-01-01,0.593,D,0.399,0.0,75.906
5zwcVFRHq9INNCFtCM1g5x,Changes Come,12,459987,0,['GusGus'],2011-01-01,0.465,F,0.308,0.908,120.896
2EFdXuxXBLeH76aXH05bk6,Alt mulig mand (ásamt Þorsteini Guðmundssyni),12,104954,0,['Steindinn okkar'],2011-01-01,0.852,G,0.00488,0.0159,95.886
